kode_id;nama;noreg
A0020;Customized  Compatible 10GBASE-ER SFP+ 1550nm 40km DDM LC SMF Transceiver Module Industrial Temperature;B2WN00A0104MA0020
A0082;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0082
A0166;Transceiver BIDI SFP+ 10G Tx1330nm 40km DDM;B2WN00A0365MA0166
A0225;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0225
A0058;Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;B2WN00A0317MA0058
A0055B;QSFP28 100G BASE-LR4 DUAL RATE 100GE/OTU;B2WN00A0216MA0055B
A0145;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0145
A0144;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0144
A0015;FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;B2WN0286411MA0015
A0364;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0364
A0024;FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;B2WN0286411MA0024
A0054;FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286593MA0054
A0052;FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286593MA0052
A0003;Juniper Networks JNP-QSFP-100G-SR4 Compatible 100GBASE-SR4 QSFP28 850nm 100m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286745MA0003
A0146;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0146
A0057B;QSFP28 100G BASE-LR4 DUAL RATE 100GE/OTU;B2WN00A0216MA0057B
A0011;Starview QSFP+ 40Gbps module 40GBase aggregating 4 x 10Gbps duplex CWDM (1270/ 1290/ 1310/ 1330nm) SM (LC) with Digital Diagnost;B2WN0287155MA0011
A0115;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0190MA0115
A0149;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0149
A0148;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0148
A0117;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0190MA0117
A0012;Starview QSFP+ 40Gbps module 40GBase aggregating 4 x 10Gbps duplex CWDM (1270/ 1290/ 1310/ 1330nm) SM (LC) with Digital Diagnost;B2WN0287155MA0012
A0019;FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;B2WN0286411MA0019
A0007;FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286593MA0007
A0010;Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;B2WN00A0317MA0010
A0036;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0036
A0297;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0219MA0297
A0051;FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;B2WN0286593MA0051
A0049;FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;B2WN0286411MA0049
A0038;Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;B2WN00A0317MA0038
A0037;Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;B2WN00A0317MA0037
A0034;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0034
A0372;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0372
A0147;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);B2WN0287157MA0147
A0206;SFP+ 10G RAISECOM 40KM;B2WN0150017MA0206
A0026;10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0026
A0039;10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0039
A0098;SFP+ 10G RAISECOM 40KM;B2WN0150017MA0098
A0011;10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0011
A0030;10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0030
A0010;10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0010
A0017;10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0017
A0006;10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0006
A0025;Starview QSFP56-DD 400Gbps module 400G-ER4 aggregating 4 x 100Gbps LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) SM (LC) ;B2WN00A0346MA0025
A0035;10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2;B2WN00A0139MA0035
A0242;1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0242
A0014;Customized Compatible 10GBASE-ZR SFP+ 1550nm 80km DOM LC SMF Transceiver Module Industrial Temperature;B2WN00A0105MA0014
A0241;1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0241
A0777;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0777
A0065;RAISECOM GE SFP LH SINGLE STRAIN TX 1550NM RX 1310NM 40KM;B2WN0150044MA0065
A1077;550m max distance, 850nm, 1.25Gbit/s, dual fiber, multi-mode, DDM, RoHS, commercial.;B2WN0286127MA1077
A0011;Customized Compatible 10GBASE-ZR SFP+ 1550nm 80km DOM LC SMF Transceiver Module Industrial Temperature;B2WN00A0105MA0011
A0780;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0780
A0236;1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0236
A0197;SFP ATOP 1G SR 850nm;B2WN0150202MA0197
A0064;6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0064
A0243;1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0243
A0190;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0190
A0012;Customized Compatible 10GBASE-ZR SFP+ 1550nm 80km DOM LC SMF Transceiver Module Industrial Temperature;B2WN00A0105MA0012
A0284;1000BASE-SX SFP transceiver module, MMF, 850nm, DOM;B2WN0286041MA0284
A0289;1000BASE-SX SFP transceiver module, MMF, 850nm, DOM;B2WN0286041MA0289
A0003;Cisco SFP-10G-ZR Compatible 10GBASE-ZR/ZW and OTU2e SFP+ 1550nm 80km DOM Duplex LC SMF Transceiver Module;B2WN0286923MA0003
A0006;RAISECOM GE SFP LH SINGLE STRAIN TX 1490NM RX 1550NM 40KM;B2WN0150045MA0006
A0199;6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0199
A0328;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0328
A0363;SFP ATOP 1G LR 1310nm;B2WN0150201MA0363
A0343;SFP 1.25G 850nm 550M DDM LC;B2WN0286922MA0343
A0415;RAISECOM GE SFP LX SINGLE STRAIN TX 1550NM RX 1310NM 15KM;B2WN0150046MA0415
A0018;SFP+ 10G RAISECOM 40KM;B2WN0150017MA0018
A0930;1.25 Gbit/s, 550 m l, 850 nm, Dual-fiber MM, SFP optical module.;B2WN0286127MA0930
A0007;6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0007
A0091;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0091
A0246;1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0246
A0019;Customized Compatible 10GBASE-ZR SFP+ 1550nm 80km DOM LC SMF Transceiver Module Industrial Temperature;B2WN00A0105MA0019
A0283;1000BASE-SX SFP transceiver module, MMF, 850nm, DOM;B2WN0286041MA0283
A0002;Cisco SFP-10G-ZR Compatible 10GBASE-ZR/ZW and OTU2e SFP+ 1550nm 80km DOM Duplex LC SMF Transceiver Module;B2WN0286923MA0002
A0009;6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0009
A0005;10GBASE ZR SFP+ 1550nm 80km Ipiinfussion Edge-Core Compatible;B2WN00A0130MA0005
A0027;1000BASE-LX/LH SFP TRANSCEIVER MODULE, MMF/SMF, 1310NM, DOM ( PN - GLC-LH-SMD );B2WN0131046LA0027
A0939;1.25 Gbit/s, 550 m l, 850 nm, Dual-fiber MM, SFP optical module.;B2WN0286127MA0939
A0162;6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0162
A0052;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0052
A0407;RAISECOM GE SFP LX SINGLE STRAIN TX 1550NM RX 1310NM 15KM;B2WN0150046MA0407
A0250;1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module;B2WN00A0003MA0250
A0202;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0202
A0023;6C-SFP-0301D SFP 1.25G 850nm 550M;B2WN0286922MA0023
A0530;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0530
A0014;Small Form Factor Pluggable 10 Gigabit Ethernet (SFP+) SR Optics;B2WN0286459MA0014
A0559;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0559
A0527;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0527
A0363;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM;B2WN0150043MA0363
